Dim1,Dim1Type,TimeDimensionValue,Value,SpatialDimType,SpatialDim
BTSX,SEX,2001,199247 [158089-240116],REGION,AFR
BTSX,SEX,2001,2 [1-3],COUNTRY,MDV
BTSX,SEX,2001,2017 [1634-2400],COUNTRY,BEN
BTSX,SEX,2001,202 [171-233],COUNTRY,DJI
BTSX,SEX,2001,2031 [1819-2253],COUNTRY,GRC
BTSX,SEX,2001,20339 [17004-22522],COUNTRY,IRN
BTSX,SEX,2001,20490 [16850-24130],COUNTRY,PAK
BTSX,SEX,2001,205 [167-248],COUNTRY,TTO
BTSX,SEX,2001,2090 [1563-2575],COUNTRY,SLV
BTSX,SEX,2001,2187 [1835-2539],COUNTRY,KHM
BTSX,SEX,2001,222 [183-266],COUNTRY,EST
BTSX,SEX,2001,2224 [1966-2500],COUNTRY,PRT
BTSX,SEX,2001,2277 [2019-2535],COUNTRY,TUN
BTSX,SEX,2001,2307 [1801-2813],COUNTRY,TCD
BTSX,SEX,2001,238 [199-282],COUNTRY,SGP
BTSX,SEX,2001,24 [18-30],COUNTRY,BRB
BTSX,SEX,2001,24 [21-26],COUNTRY,WSM
BTSX,SEX,2001,2404 [2034-2819],COUNTRY,UZB
BTSX,SEX,2001,2421 [2064-2812],COUNTRY,KAZ
BTSX,SEX,2001,2468 [2041-2895],COUNTRY,SEN
BTSX,SEX,2001,2480 [1908-3052],COUNTRY,SOM
BTSX,SEX,2001,24956 [22505-27407],COUNTRY,THA
BTSX,SEX,2001,25 [19-32],COUNTRY,LCA
BTSX,SEX,2001,2519 [2199-2860],COUNTRY,CHL
BTSX,SEX,2001,2583 [2116-3051],COUNTRY,GIN
BTSX,SEX,2001,27 [21-35],COUNTRY,ISL
BTSX,SEX,2001,27 [23-30],COUNTRY,VUT
BTSX,SEX,2001,272497 [215909-315340],REGION,SEAR
BTSX,SEX,2001,2766 [2061-3594],COUNTRY,DOM
BTSX,SEX,2001,2800 [2265-3335],COUNTRY,MLI
BTSX,SEX,2001,2841 [2503-3203],COUNTRY,CAN
BTSX,SEX,2001,286025 [249065-340701],COUNTRY,CHN
BTSX,SEX,2001,2864 [2498-3260],COUNTRY,ROU
BTSX,SEX,2001,2885 [2563-3207],COUNTRY,LKA
BTSX,SEX,2001,2907 [2392-3422],COUNTRY,ZMB
BTSX,SEX,2001,296 [240-353],COUNTRY,GAB
BTSX,SEX,2001,297 [274-319],COUNTRY,NOR
BTSX,SEX,2001,298 [253-347],COUNTRY,SVN
BTSX,SEX,2001,2994 [2259-3729],COUNTRY,RWA
BTSX,SEX,2001,303 [237-371],COUNTRY,SWZ
